,Predicted value: YES,Predicted value: NO,Predicted value: MAYBE
Approach 1,,,
Actual value: Yes,366,20,7
Actual value: No,21,80,15
Actual value: Maybe,25,38,98
Approach 2,,,
Actual value: Yes,334,19,3
Actual value: No,20,106,12
Actual value: Maybe,26,43,87
Approach 3,,,
Actual value: Yes,365,6,6
Actual value: No,21,80,10
Actual value: Maybe,19,42,74
Approach 4,,,
Actual value: Yes,0,49,0
Actual value: No,0,466,0
Actual value: Maybe,0,95,0
