,Predicted value: YES,Predicted value: NO,Predicted value: MAYBE
Approach 1,,,
Actual value: Yes,22,11,2
Actual value: No,4,27,4
Actual value: Maybe,3,11,16
Approach 2,,,
Actual value: Yes,23,8,3
Actual value: No,2,28,7
Actual value: Maybe,1,8,20
Approach 3,,,
Actual value: Yes,20,12,1
Actual value: No,1,21,7
Actual value: Maybe,1,18,19
Approach 4,,,
Actual value: Yes,0,13,0
Actual value: No,0,62,0
Actual value: Maybe,0,25,0
